RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
107,15908201,Garcia,480,Germany,Male,47,3.0,64957.2778533185,4,1,0,84584.48693577878,0
108,15165727,Smith,458,France,other,51,,163381.04518662614,1,1,1,121788.52239763271,0
109,15194259,Kim,584,Spain,other,23,7.0,10599.781984722158,3,99,0,188072.66324486083,0
110,15419907,Lee,724,Spain,other,61,7.0,45407.63853898719,4,1,1,144300.17751090796,0
111,15214361,Smith,588,France,other,67,7.0,104037.290148048,4,99,0,34101.18818500559,1
112,15180711,Kim,687,Germany,Male,65,6.0,74378.00210282623,1,1,1,19928.39512427385,1
113,15926576,Williams,701,Spain,other,41,10.0,159108.60438395382,4,0,1,193664.35020348575,0
114,15562746,Muller,681,Spain,Female,58,2.0,115588.68356717935,4,99,0,40174.39078861539,0
115,15773967,Jones,309,Germany,Male,20,10.0,138283.18480829216,3,0,1,66168.64157622424,1
116,15527141,Muller,844,Spain,other,25,0.0,112669.53785535648,3,99,1,47490.24577235229,1
117,15273180,,704,Germany,Male,56,10.0,197963.9759763802,2,0,1,155261.56425445483,1
118,15331830,Kim,560,unknown,other,44,1.0,22077.27896156467,3,99,1,144206.98502892003,0
119,15311447,Smith,428,France,other,36,4.0,81651.88534420011,3,1,1,185250.10942115344,1
120,15309964,Smith,830,Spain,Male,39,3.0,127396.60008815721,1,1,0,46976.17598051517,1
121,15940221,Garcia,780,Spain,other,27,2.0,226994.2582210785,2,1,1,139051.3752900384,0
122,15704584,Jones,400,France,Female,35,1.0,237561.90963372978,3,0,0,11764.30140598827,1
123,15631621,Kim,782,unknown,other,61,7.0,79365.69430593288,4,1,0,93144.88779494177,1
124,15285880,Jones,686,Spain,Male,41,8.0,53044.670359072246,2,1,0,55712.876982618654,1
125,15044219,Muller,600,Spain,Female,59,3.0,88883.39239931843,3,1,1,138760.1338802763,1
126,15910274,Garcia,421,Spain,other,18,3.0,174538.04818973085,4,1,1,178317.27174039604,1
127,15817647,Brown,433,Germany,other,27,4.0,134854.10208935998,1,99,0,164500.96335067632,0
128,15684880,Kim,545,France,Female,23,8.0,173544.1077982622,1,1,0,175716.4207177441,1
129,15993514,Brown,621,France,Male,30,6.0,225154.50075203602,4,0,1,41679.9502368517,0
130,15844518,Brown,596,unknown,other,26,2.0,52199.753308471525,2,99,1,271.25765145288705,1
131,15031130,Lee,757,Germany,Female,57,,143706.98147123886,3,99,1,113919.07402144148,1
132,15904142,Kim,339,France,Male,45,5.0,13006.841865747321,1,0,0,17641.457378555533,1
133,15153485,Kim,440,unknown,Female,53,9.0,140681.16707795154,2,99,1,185696.83860218228,1
134,15535382,Kim,811,Spain,other,23,3.0,203076.7814932689,3,99,0,192980.85458328587,0
135,15780546,Muller,505,Spain,Male,32,10.0,216837.23445063946,1,1,1,114916.54521283053,1
136,15883063,Smith,420,unknown,Male,27,10.0,68692.49148978603,1,1,1,74081.94420609382,0
137,15400443,Muller,675,France,Female,30,2.0,240625.01404812545,2,1,1,176249.90037285766,0
138,15453638,Garcia,482,Spain,Female,28,9.0,148834.9162623239,4,0,0,,0
139,15592706,Brown,567,Spain,Female,67,4.0,205030.8596476214,4,99,1,60967.176483828756,0
140,15167077,Kim,571,Spain,Female,33,8.0,63541.134890935326,4,0,1,63093.392338559286,1
141,15049994,Kim,656,unknown,other,23,4.0,,4,0,1,164927.98298129364,1
142,15746495,Lee,728,France,other,28,,221027.96398994463,1,99,1,90285.90827803427,1
143,15300253,Muller,533,Spain,Female,24,0.0,86444.89162797545,2,0,0,131542.68968578443,1
144,15218623,Jones,683,unknown,other,39,3.0,17042.74359552534,4,1,0,160691.0730925561,1
145,15368276,Williams,656,France,other,31,4.0,188566.29526473233,3,0,0,189748.7699784555,0
146,15981303,Jones,528,unknown,other,48,4.0,96159.29005761747,3,0,1,192282.60439332968,1
147,15503338,Lee,447,Spain,Female,46,9.0,201567.27152817152,2,0,0,113688.45352883964,0
148,15569427,Lee,387,unknown,other,29,10.0,78944.33755541014,2,1,1,183660.31157595266,1
149,15333015,Jones,679,Germany,other,26,4.0,121995.93072507944,3,1,1,74685.4859875782,0
150,15118699,Smith,462,unknown,other,54,4.0,239406.7549157417,4,1,0,159016.38935273915,0
151,15589541,Kim,744,Germany,Male,27,6.0,181172.76023370973,1,1,1,75051.81551541608,0
152,15910387,Kim,589,Spain,Male,61,2.0,178980.83585914815,1,99,0,122600.3426976582,0
153,15218907,Jones,309,Spain,other,46,5.0,224399.52024314308,3,0,0,151157.60170762235,1
154,15268900,Williams,810,Germany,other,60,3.0,232872.14079609985,3,1,0,75598.66207378324,0
155,15533967,Muller,710,Spain,Female,44,10.0,100401.89522245944,1,0,1,130419.52953347328,1
156,15082470,Garcia,482,France,Male,47,7.0,86312.51650544973,2,99,0,65833.68937759557,0
157,15377189,Smith,458,unknown,other,18,7.0,222750.2262682599,3,99,0,60720.88094623149,0
158,15150280,Kim,666,France,Female,33,5.0,82131.27524423154,4,0,1,150247.18924724127,1
159,15042262,Brown,324,Germany,Female,53,5.0,210773.00833455625,4,99,1,13482.780202898579,1
160,15358594,Jones,327,Spain,Male,63,7.0,161090.75215325956,4,99,0,90225.09794664376,0
161,15239383,Smith,626,unknown,other,35,4.0,68847.669681572,4,99,1,138059.91710169366,1
162,15820416,Smith,417,unknown,Female,57,0.0,168688.9107096644,4,1,0,21842.045484652015,0
163,15481815,Muller,698,France,other,69,5.0,2724.9442268432417,4,0,0,33467.951912323486,1
164,15028737,Smith,726,unknown,Male,55,3.0,142632.4007658488,4,0,0,45297.9003846247,1
165,15091724,Muller,331,unknown,other,43,2.0,6189.055204992263,4,1,0,154284.53037272664,0
166,15623163,Lee,706,Germany,Male,45,0.0,23854.38221826218,3,99,0,41539.963692511854,1
167,15330979,Williams,697,unknown,Male,63,10.0,31387.4595377142,1,99,1,26812.381592473845,0
168,15209475,Brown,558,Germany,Female,41,9.0,140577.9250455369,4,99,1,153870.51767509818,0
169,15382473,Williams,305,France,Male,33,4.0,201256.35043814394,3,1,1,129740.49953950921,0
170,15273780,Jones,387,France,Female,53,,120169.7798888851,1,0,0,112059.11612820413,1
171,15438956,Smith,794,France,Male,34,0.0,225365.78597241623,2,99,0,131915.73323084853,0
172,15607790,Muller,354,unknown,other,68,8.0,61484.02558499029,4,1,0,,1
173,15213278,Lee,307,unknown,other,44,7.0,181698.6801728398,2,99,1,17709.169963978748,1
174,15538804,Brown,412,Germany,Female,30,5.0,31113.635406899728,2,0,1,193622.73095405498,0
175,15922608,Lee,328,France,Male,51,0.0,45067.17202549993,3,1,0,35147.74043261238,0
176,15474293,Williams,402,unknown,Male,18,5.0,134773.65261967355,2,1,1,85318.23072100536,0
177,15246705,Jones,315,Germany,Male,41,4.0,156387.89513191476,2,99,1,5251.593931426533,0
178,15709853,Lee,586,Spain,Female,33,8.0,576.2551339776827,2,99,0,139550.95291739758,1
179,15334458,Garcia,314,Spain,other,23,3.0,242807.64677737982,2,99,1,91302.85953807988,1
180,15968353,Garcia,845,Germany,Female,38,10.0,123219.51814663512,4,0,0,60664.217131901896,1
181,15586092,Lee,779,Spain,Female,45,0.0,168420.21634111422,2,0,1,105236.89069722751,0
182,15466432,Lee,405,Germany,Female,66,,147018.69396097495,2,99,1,17119.368706960067,1
183,15663645,Jones,575,France,Male,66,6.0,76517.38336204155,3,0,0,28285.75458750907,1
184,15160751,Smith,359,France,Male,47,7.0,208965.02283518095,4,99,0,193469.49219587876,1
185,15594892,Smith,419,Germany,Male,60,4.0,69863.87560648711,4,99,1,179528.52896465876,1
186,15006083,Brown,578,Germany,Female,29,3.0,200802.77980520003,1,0,0,54519.75790645743,1
187,15295632,Jones,782,Germany,Male,29,1.0,84494.46365408081,3,1,1,66174.06856772787,1
188,15801674,Jones,411,unknown,Female,44,1.0,142404.49582723147,3,1,1,138520.296837029,1
189,15169338,Jones,481,Germany,Male,30,6.0,176731.60825485128,3,1,0,126390.98176969585,1
190,15585533,Garcia,490,Germany,Male,55,9.0,192812.3861598534,4,0,0,125196.46244708227,0
191,15369063,Muller,450,unknown,Male,41,4.0,134539.896831295,3,99,0,194227.8986480435,0
192,15338438,Muller,842,unknown,Female,22,10.0,47248.80028577756,2,1,1,114052.97509357725,0
193,15837936,Brown,564,France,Male,27,7.0,97404.04604114668,3,0,0,79820.82856217446,1
194,15527162,Kim,600,France,Female,49,10.0,156818.12865543363,4,1,1,60815.551448682076,1
195,15888281,Williams,432,unknown,other,61,1.0,105091.11500454061,1,1,0,43357.49711778963,0
196,15876540,Lee,596,Germany,Male,53,0.0,201410.31806099837,4,99,1,115441.75555075242,0
197,15266019,Brown,466,Spain,Male,46,0.0,71746.7269511733,4,1,0,,1
198,15102307,Jones,754,Spain,other,21,9.0,114222.97400721662,1,0,1,2846.4391291543793,0
199,15548841,Jones,506,Spain,Male,44,5.0,111636.95771403845,2,0,0,183225.58647927607,1
200,15418712,Williams,441,Spain,Female,21,2.0,140394.24614568887,4,99,0,114040.71404906723,1
201,15137673,Kim,491,unknown,Female,28,3.0,64988.1209493169,1,1,0,22761.98295411195,0
202,15454928,Lee,502,unknown,Male,26,6.0,184982.96818253677,3,99,1,96678.21393591799,0
203,15805330,Brown,581,Germany,other,25,6.0,,1,99,0,97402.58225058446,1
204,15731585,Lee,585,Germany,Male,43,4.0,175844.02228876206,3,1,1,125273.07458198904,1
205,15250284,Williams,411,Spain,Female,52,10.0,106925.90986439411,3,1,0,40398.39333041203,0
206,15003925,Lee,587,unknown,Male,43,7.0,229732.73041241037,4,0,0,135379.0269037607,1
207,15818609,Garcia,556,France,Male,36,1.0,63184.57215311009,4,0,0,195988.16358048993,0
208,15581637,Garcia,566,Germany,other,23,4.0,90639.38926102367,1,1,1,113632.42464256426,1
209,15424963,Brown,445,Germany,Female,38,6.0,92884.20408198402,1,0,1,33446.682475938476,1
210,15945593,Brown,848,Germany,other,57,5.0,100114.81013310453,3,1,1,88313.69590686695,1
211,15754320,Brown,468,France,Female,27,1.0,171403.46392651598,1,0,0,89878.21261570012,1
212,15918343,Williams,824,Spain,Male,55,4.0,143462.2582711906,4,0,0,110614.59944063306,1
213,15569240,Muller,324,France,other,50,10.0,155343.0264674269,3,1,1,196500.58943162867,1
214,15052487,Kim,516,Germany,Male,34,4.0,167610.56933491805,3,1,1,,1
215,15567705,Kim,838,unknown,Male,48,0.0,203938.68343006834,1,1,1,39232.23574669023,0
216,15082650,Smith,477,Germany,other,40,0.0,14520.041442455227,2,1,0,76847.90544013129,0
217,15302346,Kim,671,France,Male,38,7.0,81147.10897565681,2,1,0,110579.41114500277,1
218,15008091,Williams,791,Spain,Female,36,7.0,45267.551346172804,4,1,1,50048.79361774312,0
219,15649337,Kim,725,Germany,Female,24,4.0,114463.5718749833,1,0,1,99786.73980652554,1
220,15909590,Williams,418,France,other,51,0.0,158268.71836193308,2,1,1,1586.6428137356734,1
221,15030595,Garcia,731,Germany,other,54,3.0,231926.65272216953,4,99,1,60859.39972712269,0
222,15889249,Garcia,318,France,Male,20,8.0,80650.43764336396,2,99,1,70317.07861103647,1
223,15817784,Jones,475,Spain,other,68,5.0,88551.51701887675,3,1,0,41781.562345464554,1
224,15024047,Jones,446,Germany,other,60,3.0,133357.35973269804,1,99,0,156093.70251293315,0
225,15321083,Williams,438,Spain,other,27,10.0,76216.21784038964,1,1,0,63491.54493363267,0
226,15416477,Smith,844,Spain,Male,69,1.0,75059.27588940707,4,1,0,42037.943728140934,1
227,15699849,Garcia,828,Spain,Female,57,2.0,111710.4206379242,2,99,1,31393.53991217722,1
228,15036106,Lee,446,France,other,44,0.0,39039.7597347592,4,0,0,29741.563814098175,1
229,15622789,Garcia,779,unknown,other,47,10.0,91434.38293294776,2,0,0,134576.48453275854,1
230,15343629,Muller,529,France,Female,29,7.0,30362.293793908477,4,99,0,102069.79053968882,1
231,15062775,Garcia,508,France,Female,47,5.0,243809.2155768153,4,0,1,17950.690546267706,0
232,15679863,Smith,348,Spain,Male,34,10.0,17933.34723790199,3,1,1,173451.29086889265,1
233,15716129,Lee,480,unknown,Male,36,10.0,207218.88853095644,2,99,1,102650.32440489881,1
234,15033722,Garcia,582,Germany,other,52,7.0,206762.86498836832,3,0,0,13818.85706317842,1
235,15005566,Jones,426,Germany,other,39,0.0,129154.32261077278,4,0,1,157576.8785173137,0
236,15074133,Muller,520,unknown,Male,25,9.0,36004.406160263075,1,1,1,21095.47045865961,1
237,15307289,Muller,301,unknown,other,49,8.0,50371.87206896985,4,99,1,193439.67010712717,0
238,15550668,Jones,750,France,Female,43,9.0,27210.619475904183,3,99,1,100622.52348277386,0
239,15811549,Brown,452,Germany,Male,63,5.0,171683.62899093403,1,1,1,58111.15693025442,0
240,15733430,Garcia,817,Germany,Male,30,0.0,231772.52889244744,3,0,1,138560.33693594972,0
241,15184399,Brown,606,France,Female,38,0.0,33163.07300405589,4,0,1,182431.7214854084,1
242,15805398,Jones,686,France,other,60,0.0,61368.1534194044,2,1,1,,0
243,15682530,Smith,824,unknown,Male,61,7.0,174034.7731317453,3,99,1,44926.31648993825,1
244,15113364,Garcia,365,France,Female,52,4.0,37288.28305912106,1,1,0,76227.73285537283,1
245,15940139,Garcia,381,Germany,other,67,2.0,28056.692243867972,1,1,1,49346.458448225436,1
246,15272380,Kim,749,Spain,other,41,8.0,52784.635725035856,2,99,0,21862.54330259582,0
247,15716635,Williams,643,unknown,Male,44,8.0,196334.45795317902,2,0,0,68721.22539449405,0
248,15942106,Kim,352,Germany,other,63,6.0,211805.45492263432,2,0,0,173757.33543070598,0
249,15179012,Kim,780,France,Female,44,2.0,25797.77619887906,3,99,1,87636.15295417634,0
250,15974073,Williams,533,Spain,Female,22,6.0,103135.12912645338,3,0,1,193779.27837829143,0
251,15353687,Smith,583,unknown,other,30,3.0,17755.459603361385,1,1,1,42276.74908169458,1
252,15027192,Jones,818,Germany,Female,30,0.0,131643.46453249748,4,99,1,144168.63155366963,1
253,15079518,Kim,570,France,Female,53,5.0,96861.43705771635,4,0,0,179394.58512526212,0
254,15257479,Lee,665,unknown,Female,58,8.0,114784.63244584235,4,1,0,186905.0498867952,0
255,15346396,Brown,641,Germany,Male,23,10.0,29287.55454609671,2,99,0,105313.10216729315,0
256,15218935,Kim,407,Germany,Male,57,8.0,148417.32124327755,1,1,0,24335.58091061108,0
257,15360478,Brown,491,Germany,Male,53,8.0,217997.7027978219,3,1,0,142924.47143753036,0
258,15775129,Smith,557,Spain,other,66,10.0,119200.60373050041,1,1,1,194039.4777300384,1
259,15335654,Garcia,771,France,Male,64,4.0,35550.19001388634,2,1,0,27312.30213595575,0
260,15780576,Jones,634,Germany,other,62,7.0,197928.29523951307,3,1,1,114791.50206784582,0
261,15428459,Jones,470,France,other,33,6.0,32890.18568281583,1,1,1,136412.63066400256,1
262,15737436,Smith,425,France,Male,50,0.0,4650.600855014655,3,1,0,164946.72160466824,1
263,15769622,Brown,403,France,Male,25,7.0,58590.726894936655,4,99,0,35849.40612791698,0
264,15552378,Smith,495,unknown,other,33,3.0,241069.75239338088,3,1,1,156249.9594891377,0
265,15861567,Lee,583,France,Male,31,8.0,94703.41271231331,3,0,1,552.8697961270902,1
266,15415184,Lee,646,France,Female,52,3.0,144550.25185533438,2,99,1,14985.411235991902,0
267,15453195,Smith,611,unknown,other,34,6.0,53878.40412281131,4,99,0,184964.15582783206,0
268,15867001,Smith,436,Spain,Female,19,0.0,1370.6950274816907,1,0,0,83296.8370635757,1
269,15383063,Jones,573,Germany,Female,21,2.0,73518.50535283021,4,1,0,,1
270,15733648,Brown,516,Spain,Female,41,6.0,149479.344641505,2,1,0,44710.25601019751,1
271,15537203,Kim,769,France,Male,43,3.0,115313.2863203944,2,99,1,29205.95469169091,0
272,15847765,Brown,835,Spain,other,32,9.0,76130.87903449929,2,99,0,94307.67618186654,1
273,15187256,Muller,813,Spain,Male,61,0.0,87696.91537438078,3,0,0,139469.19663754513,1
274,15805336,Williams,699,Spain,other,64,5.0,49039.80895132689,4,1,1,114120.3068778542,0
275,15852319,Muller,730,unknown,Female,24,5.0,232662.3502489739,3,99,1,93604.9544646712,0
276,15373437,Smith,628,Germany,Female,45,1.0,91663.64530657447,3,99,0,136959.02086233592,0
277,15731224,Muller,337,Spain,Male,21,4.0,147545.51278065314,2,0,1,141263.21665579538,0
278,15691084,Smith,448,Spain,Male,26,0.0,206448.78438935548,4,99,1,2409.378533436022,1
279,15883912,Smith,799,Germany,Female,20,1.0,215271.6736493915,3,99,1,176538.82082470437,0
280,15806437,Smith,822,France,Male,64,5.0,64553.11157319394,3,0,1,172602.2610337269,0
281,15917949,Garcia,314,Germany,Male,21,0.0,163091.22786499598,2,0,0,185161.6984733276,1
282,15983437,Muller,428,France,other,48,1.0,76598.67671905928,3,99,0,27844.835627423323,1
283,15660336,Brown,372,Germany,other,54,10.0,73439.93810915017,1,99,0,27362.97350548825,0
284,15172446,Brown,378,unknown,Male,69,9.0,108890.17924291783,3,0,1,164776.98958827546,0
285,15517079,Muller,368,France,Male,54,2.0,237028.6833146398,3,0,0,107665.72968174575,0
286,15344795,Smith,657,Germany,Female,58,9.0,237261.31055940443,1,99,0,97048.53158641337,0
287,15754543,Kim,401,Germany,other,56,4.0,230984.80272443194,3,0,0,25968.577718412558,0
288,15035881,Garcia,435,France,Male,51,6.0,132708.04320872054,1,0,0,4856.897168122784,1
289,15015483,Garcia,835,unknown,other,39,,198446.57296732222,1,1,1,113874.79127707637,1
